epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
43;9562.2;1.35333;0.83549;1.47756;0.89976;0.83648;0.91053;0.59071;1.25223;0.71828;1.38609;0.005842;0.005842;0.005842
44;9784.26;1.35201;0.82456;1.47321;0.88416;0.83718;0.90697;0.59262;1.22772;0.73065;1.35673;0.005743;0.005743;0.005743
45;10005;1.33387;0.8134;1.45832;0.88545;0.84807;0.9167;0.59775;1.21273;0.71724;1.35528;0.005644;0.005644;0.005644
46;10227.4;1.33116;0.80969;1.455;0.90367;0.83912;0.92103;0.60059;1.22149;0.70048;1.35509;0.005545;0.005545;0.005545
47;10448.8;1.32447;0.81601;1.45758;0.91532;0.84603;0.90802;0.60049;1.22538;0.67872;1.3575;0.005446;0.005446;0.005446
48;10670.8;1.31279;0.79046;1.45604;0.89004;0.84416;0.90772;0.59359;1.23172;0.69131;1.36723;0.005347;0.005347;0.005347
49;10891.7;1.31451;0.78302;1.44134;0.92149;0.83648;0.92309;0.60414;1.22182;0.69938;1.36105;0.005248;0.005248;0.005248
50;11113.3;1.3021;0.78209;1.43253;0.90854;0.85604;0.91182;0.60698;1.20231;0.68204;1.3435;0.005149;0.005149;0.005149
51;11334.1;1.29763;0.77218;1.42689;0.90349;0.857;0.91674;0.60473;1.20899;0.68146;1.35215;0.00505;0.00505;0.00505
52;11554.6;1.28658;0.76286;1.41701;0.9218;0.84347;0.91721;0.60739;1.21406;0.69682;1.34917;0.004951;0.004951;0.004951
53;11775.4;1.2718;0.753;1.41102;0.91633;0.84955;0.92147;0.6104;1.20595;0.69538;1.33861;0.004852;0.004852;0.004852
54;11996.1;1.2713;0.7512;1.40946;0.91432;0.84976;0.92122;0.60802;1.21535;0.68366;1.34686;0.004753;0.004753;0.004753
55;12217.3;1.26266;0.74384;1.39606;0.90414;0.85029;0.91541;0.60504;1.20215;0.69154;1.33792;0.004654;0.004654;0.004654
56;12439.2;1.24686;0.73379;1.3961;0.90646;0.86373;0.91747;0.6129;1.2032;0.66938;1.34751;0.004555;0.004555;0.004555
57;12660.4;1.24911;0.72994;1.38971;0.91561;0.84922;0.9252;0.61962;1.19307;0.66771;1.3349;0.004456;0.004456;0.004456
58;12881.2;1.24211;0.72273;1.38811;0.89718;0.87197;0.92475;0.61495;1.20293;0.65904;1.34278;0.004357;0.004357;0.004357
59;13101.6;1.24081;0.7358;1.38599;0.91594;0.84906;0.92619;0.61733;1.18746;0.67307;1.32966;0.004258;0.004258;0.004258
60;13323.5;1.23468;0.72904;1.37741;0.9149;0.86443;0.92828;0.62236;1.18376;0.64992;1.3181;0.004159;0.004159;0.004159
61;13543.9;1.23321;0.72275;1.37416;0.92617;0.8503;0.9246;0.62157;1.18637;0.65397;1.32509;0.00406;0.00406;0.00406
62;13765.7;1.22784;0.71704;1.37454;0.91604;0.86919;0.92922;0.62569;1.17094;0.64514;1.31519;0.003961;0.003961;0.003961
63;13988;1.22052;0.70984;1.37188;0.92823;0.84976;0.92915;0.62936;1.16871;0.64821;1.31149;0.003862;0.003862;0.003862
64;14209.8;1.20736;0.69745;1.36232;0.92888;0.85255;0.92708;0.62299;1.17339;0.65517;1.31364;0.003763;0.003763;0.003763
65;14431.1;1.19483;0.68807;1.34757;0.93487;0.84277;0.92862;0.62466;1.17222;0.66369;1.31483;0.003664;0.003664;0.003664
66;14653.1;1.1949;0.68499;1.34362;0.92498;0.85744;0.92752;0.62766;1.16173;0.64264;1.31085;0.003565;0.003565;0.003565
67;14875.2;1.19852;0.69507;1.34198;0.92669;0.85325;0.92976;0.63037;1.16851;0.64046;1.31605;0.003466;0.003466;0.003466
68;15097.5;1.18733;0.68237;1.33954;0.91661;0.85814;0.93042;0.63285;1.15614;0.63857;1.30398;0.003367;0.003367;0.003367
